author_name,title_counts
"Littleton, Thomas, Sir, d. 1481.?",6
"Lloyd, Lodowick, fl. 1573-1610.?",6
"Marprelate, Martin, pseud.?",6
"Nelson, Thomas, fl. 1580.?",6
"Partridge, John, fl. 1566-1573.?",6
R. T.?,6
"Rhegius, Urbanus, 1489-1541.?",6
"Some, Robert, 1542-1609.?",6
"Watson, Thomas, 1557?-1592.?",6
"West, William, fl. 1568-1594.?",6
Anonymous?,422
England and Wales. Sovereign (1603-1625 : James I)?,185
"Perkins, William, 1558-1602.?",100
"Sternhold, Thomas, d. 1549.?",90
Church of England.?,76
"Shakespeare, William, 1564-1616.?",66
"Broughton, Hugh, 1549-1612.?",55
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,55
"Hall, Joseph, 1574-1656.?",54
England and Wales.?,52
"Breton, Nicholas, 1545?-1626??",50
"Dekker, Thomas, ca. 1572-1632.?",42
"Smith, Henry, 1550?-1591.?",42
"Dent, Arthur, d. 1607.?",40
"Dod, John, 1549?-1645.?",37
"Rowlands, Samuel, 1570?-1630??",35
"Drayton, Michael, 1563-1631.?",30
England and Wales. Privy Council.?,29
"Hieron, Samuel, 1576?-1617.?",28
"Heywood, Thomas, d. 1641.?",26
"James I, King of England, 1566-1625.?",26
"Parsons, Robert, 1546-1610.?",26
"Clapham, Henoch.?",24
"Daniel, Samuel, 1562-1619.?",24
"Greene, Robert, 1558?-1592.?",24
"Markham, Gervase, 1568?-1637.?",24
"Norden, John, 1548-1625??",24
"Willet, Andrew, 1562-1621.?",24
"Chapman, George, 1559?-1634.?",22
"Southwell, Robert, Saint, 1561?-1595.?",22
"Bell, Thomas, fl. 1593-1610.?",20
"Andrewes, Lancelot, 1555-1626.?",19
"Bacon, Francis, 1561-1626.?",19
"Cowper, William, 1568-1619.?",19
"Marston, John, 1575?-1634.?",19
"Spenser, Edmund, 1552?-1599.?",19
"Playfere, Thomas, 1561?-1609.?",18
"Powel, Gabriel, 1576-1611.?",18
R. F. H. 16th cent.?,18
"Du Bartas, Guillaume de Salluste, seigneur, 1544-1590.?",17
"Jonson, Ben, 1573?-1637.?",17
"Luis, de Granada, 1504-1588.?",17
"Speed, John, 1552?-1629.?",17
"Barlow, William, d. 1613.?",16
"Boys, John, 1571-1625.?",16
"Middleton, Thomas, d. 1627.?",16
"Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623.?",16
"Greenham, Richard.?",15
"Hayward, John, Sir, 1564?-1627.?",15
"Marlowe, Christopher, 1564-1593.?",15
"Nixon, Anthony.?",15
"Lodge, Thomas, 1558?-1625.?",14
"Plat, Hugh, Sir, 1552-1611??",14
"Price, Daniel, 1581-1631.?",14
"Davies, John, 1565?-1618.?",13
"Dering, Edward, 1540?-1576.?",13
"Gifford, George, 1547 or 8-1600.?",13
"Jacob, Henry, 1563-1624.?",13
"Lloyd, Lodowick, fl. 1573-1610.?",13
"Sutton, Christopher, 1565?-1629.?",13
"Abbot, Robert, 1560-1618.?",12
"Ainsworth, Henry, 1571-1622??",12
"Bradshaw, William, 1571-1618.?",12
"Davies, John, Sir, 1569-1626.?",12
"Hollyband, Claudius, 16th cent.?",12
"Lambarde, William, 1536-1601.?",12
"Lyly, John, 1554?-1606.?",12
"Morley, Thomas, 1557-1603??",12
"Rich, Barnabe, 1540?-1617.?",12
"Sidney, Philip, Sir, 1554-1586.?",12
"Stow, John, 1525?-1605.?",12
"Abbot, George, 1562-1633.?",11
"Bernard, Richard, 1568-1641.?",11
"Dove, John, 1560 or 61-1618.?",11
"Downame, John, d. 1652.?",11
"Du Moulin, Pierre, 1568-1658.?",11
"Harington, John, Sir, 1560-1612.?",11
"Hooker, Richard, 1553 or 4-1600.?",11
"Hopton, Arthur, 1587 or 8-1614.?",11
"Johnson, Francis, 1562-1618.?",11
"Rainolds, John, 1549-1607.?",11
"Sutcliffe, Matthew, 1550?-1629.?",11
"Burton, William, d. 1616.?",10
"Edmondes, Clement, Sir, 1566 or 7-1622.?",10
"Gardiner, Samuel, b. 1563 or 4.?",10
"Johnson, Richard, 1573-1659??",10
"King, John, 1559?-1621.?",10
"Lily, William, 1468?-1522.?",10
"Mathew, William, fl. 1602-1614.?",10
"Milles, Tho. 1550?-1627??",10
"Neve, Jeffery, 1579-1654.?",10
"Ovid, 43 B.C.-17 or 18 A.D.?",10
Plutarch.?,10
Scotland. Sovereign (1567-1625 : James VI)?,10
"Stirling, William Alexander, Earl of, 1567 or 8-1640.?",10
"Topsell, Edward, 1572-1625??",10
"Wilkinson, Robert, Dr. in Divinity.?",10
Worshipful Company of Parish Clerks.?,10
Anonymous?,505
England and Wales. Sovereign (1603-1625 : James I)?,285
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,73
"Sternhold, Thomas, d. 1549.?",65
"Taylor, John, 1580-1653.?",63
England and Wales. Sovereign (1625-1649 : Charles I)?,54
Church of England.?,53
"Scott, Thomas, 1580?-1626.?",53
"Wither, George, 1588-1667.?",41
"Hall, Joseph, 1574-1656.?",34
"Hieron, Samuel, 1576?-1617.?",34
"Perkins, William, 1558-1602.?",30
"Markham, Gervase, 1568?-1637.?",26
"Ward, Samuel, 1577-1640.?",26
"Breton, Nicholas, 1545?-1626??",25
"Byfield, Nicholas, 1579-1622.?",25
"Adams, Thomas, fl. 1612-1653.?",24
"Middleton, Thomas, d. 1627.?",24
"Speed, John, 1552?-1629.?",24
"Gataker, Thomas, 1574-1654.?",23
Ireland. Lord Deputy (1622-1629 : Falkland)?,23
"Boys, John, 1571-1625.?",21
"Smith, Henry, 1550?-1591.?",21
England and Wales.?,20
"Smith, Samuel, 1588-1665.?",20
"Du Moulin, Pierre, 1568-1658.?",19
